Issue ID,Epic,Epic Title,Issue Title,Assignee,Labels,Priority,Depends On
6.1,6,Wealth: Loans & Investments,Credit card details + alerts,Harish G,wealth;accounts,High,2.5
6.2,6,Wealth: Loans & Investments,Loans + amortisation + EMI split,Harish G,wealth;loans;money,High,2.5;3.3
6.3,6,Wealth: Loans & Investments,Investments holdings/lots + XIRR,Harish G,wealth;investments;engine,High,2.5
6.4,6,Wealth: Loans & Investments,Allocation & diversification (AI-INV),Harish G,wealth;investments;ai,Medium,6.3
6.5,6,Wealth: Loans & Investments,Gold/crypto valuation via market API,Harish G,wealth;market-data,Medium,6.3
6.6,6,Wealth: Loans & Investments,Net-worth snapshots history,Harish G,wealth,Medium,2.6
7.1,7,Goals & Emergency Fund,Goals engine (AI-GOAL),Harish G,goals;engine,High,3.1;5.1
7.2,7,Goals & Emergency Fund,Emergency Fund engine (AI-EMF),Harish G,emergency;engine,High,4.3
7.3,7,Goals & Emergency Fund,Goal feasibility & waterfall,Harish G,goals,High,7.1;9.2
7.4,7,Goals & Emergency Fund,Linked contributions,Harish G,goals,Medium,7.1
7.5,7,Goals & Emergency Fund,Financial Order of Operations (AI-FOO),Harish G,goals;engine,Medium,7.2;9.2
8.1,8,Backup & Restore,E2EE backup (Argon2id + AES-256-GCM),Harish G,backup;crypto,High,1.6
8.2,8,Backup & Restore,Restore on fresh device,Harish G,backup,High,8.1
8.3,8,Backup & Restore,Backup restore drill,Harish G,backup;testing,Medium,8.2
9.1,9,AI Core Engines,Fixed/Variable + Nature engine (AI-CLS Stage 2),Harish G,engine;ai,High,4.3
9.2,9,AI Core Engines,Cash-flow forecast (AI-FCT),Harish G,engine;forecast,High,9.1;3.7
9.3,9,AI Core Engines,Seasonality (AI-SEAS),Harish G,engine;forecast,Medium,9.2
9.4,9,AI Core Engines,Financial Health Score (AI-FHS),Harish G,engine;health-score,High,9.1;7.2
9.5,9,AI Core Engines,Insight Orchestrator + feed,Harish G,engine;orchestrator,High,9.2;9.4
9.6,9,AI Core Engines,Notification engine + policy,Harish G,notifications;engine,High,9.5
9.7,9,AI Core Engines,Guardrail (AI-ARC-004),Harish G,ai;guardrail,High,9.5
10.1,10,Advisor & Chat,Purchase Advisor (AI-PA) + trace card,Harish G,purchase-advisor;engine,High,9.2;7.1
10.2,10,Advisor & Chat,Buy List & adaptive interview (AI-PA-INT),Harish G,purchase-advisor,Medium,10.1
10.3,10,Advisor & Chat,"Simulators (prepay-vs-invest, payoff)",Harish G,engine;simulator,Medium,6.2;7.5
10.4,10,Advisor & Chat,Vehicle & maintenance prediction (AI-VEH),Harish G,engine;vehicle,Medium,9.2
10.5,10,Advisor & Chat,Chat assistant (on-device LLM) + tool registry,Harish G,chat;llm;ai,High,9.5;9.7
10.6,10,Advisor & Chat,Chat guardrail eval,Harish G,chat;ai;testing,High,10.5;9.7
10.7,10,Advisor & Chat,Market Signal Engine (AI-MKT) + Opportunity screen,Harish G,engine;market-signal,Medium,6.5;9.2
10.8,10,Advisor & Chat,Localisation (Hindi + 2),Harish G,localisation;ui,Medium,5.1
11.1,11,"Privacy, Security & Compliance",SQLCipher key management (StrongBox),Harish G,security;crypto,High,1.6
11.2,11,"Privacy, Security & Compliance",FLAG_SECURE + screen-capture guard,Harish G,security;privacy,High,1.10
11.3,11,"Privacy, Security & Compliance",Consents dashboard + one-tap revoke,Harish G,privacy;compliance,High,1.9
11.4,11,"Privacy, Security & Compliance",Erase-all (crypto-shredding),Harish G,security;privacy,High,1.6;11.1
11.5,11,"Privacy, Security & Compliance",DPDP Act 2023 alignment,Harish G,compliance,High,11.3
11.6,11,"Privacy, Security & Compliance",Dependency scan (OSV) + minified release,Harish G,security;ci,High,1.1
11.7,11,"Privacy, Security & Compliance",No-hand-rolled-crypto (Tink) audit,Harish G,security;crypto,High,1.6;8.1
12.1,12,"Quality, Testing & Release",Engine golden-file + property test harness,Harish G,testing,High,1.4
12.2,12,"Quality, Testing & Release",AI evaluation datasets (categorisation/OCR/forecast),Harish G,testing;ai,High,4.2;3.8;9.2
12.3,12,"Quality, Testing & Release",Paparazzi screenshot tests,Harish G,testing;ui,Medium,1.8
12.4,12,"Quality, Testing & Release",Instrumented E2E smoke + airplane-mode,Harish G,testing;e2e,High,5.1;5.4
12.5,12,"Quality, Testing & Release",CI gates + release train,Harish G,ci;release,High,1.1;12.1
13.1,13,Expansion,Household mode,Harish G,expansion,Low,2.5
13.2,13,Expansion,Appliances maintenance,Harish G,expansion;vehicle,Low,10.4
13.3,13,Expansion,Insurance/protection suite (AI-INS),Harish G,expansion;ai,Low,9.4
13.4,13,Expansion,Tax engine v2 (AI-TAX),Harish G,expansion;ai;tax,Low,6.3
13.5,13,Expansion,Business mode,Harish G,expansion,Low,2.5
13.6,13,Expansion,Account Aggregator integration,Harish G,expansion;integration,Low,3.5
13.7,13,Expansion,iOS via KMP,Harish G,expansion;kmp,Low,1.1
